task_id,program_id,category,original_availability,slice_availability,original_soundness,slice_soundness,original_completeness,slice_completeness,soundness_agreement,completeness_agreement,inconclusive_reason
BR-016-T01,BR-016,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-016-T02,BR-016,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-016-T03,BR-016,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-016-T04,BR-016,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-017-T01,BR-017,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-017-T02,BR-017,Branched,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-017-T03,BR-017,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-017-T04,BR-017,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-018-T01,BR-018,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-018-T02,BR-018,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-018-T03,BR-018,Branched,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-018-T04,BR-018,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-019-T01,BR-019,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-019-T02,BR-019,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-019-T03,BR-019,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-019-T04,BR-019,Branched,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-020-T01,BR-020,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-020-T02,BR-020,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-020-T03,BR-020,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-020-T04,BR-020,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-021-T01,BR-021,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-021-T02,BR-021,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-021-T03,BR-021,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-021-T04,BR-021,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-022-T01,BR-022,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-022-T02,BR-022,Branched,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-022-T03,BR-022,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-022-T04,BR-022,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-023-T01,BR-023,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-023-T02,BR-023,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-023-T03,BR-023,Branched,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-023-T04,BR-023,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-024-T01,BR-024,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-024-T02,BR-024,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-024-T03,BR-024,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-024-T04,BR-024,Branched,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-025-T01,BR-025,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-025-T02,BR-025,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-025-T03,BR-025,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-025-T04,BR-025,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-026-T01,BR-026,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-026-T02,BR-026,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-026-T03,BR-026,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-026-T04,BR-026,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-027-T01,BR-027,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-027-T02,BR-027,Branched,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-027-T03,BR-027,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-027-T04,BR-027,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-028-T01,BR-028,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-028-T02,BR-028,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-028-T03,BR-028,Branched,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-028-T04,BR-028,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-029-T01,BR-029,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-029-T02,BR-029,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-029-T03,BR-029,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-029-T04,BR-029,Branched,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-030-T01,BR-030,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-030-T02,BR-030,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-030-T03,BR-030,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-030-T04,BR-030,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-031-T01,BR-031,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-031-T02,BR-031,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-031-T03,BR-031,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-031-T04,BR-031,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-032-T01,BR-032,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-032-T02,BR-032,Branched,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-032-T03,BR-032,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-032-T04,BR-032,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-033-T01,BR-033,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-033-T02,BR-033,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-033-T03,BR-033,Branched,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-033-T04,BR-033,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-034-T01,BR-034,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-034-T02,BR-034,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-034-T03,BR-034,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-034-T04,BR-034,Branched,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-035-T01,BR-035,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-035-T02,BR-035,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-035-T03,BR-035,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-035-T04,BR-035,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-036-T01,BR-036,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-036-T02,BR-036,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-036-T03,BR-036,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-036-T04,BR-036,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-037-T01,BR-037,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-037-T02,BR-037,Branched,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-037-T03,BR-037,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-037-T04,BR-037,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-038-T01,BR-038,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-038-T02,BR-038,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-038-T03,BR-038,Branched,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-038-T04,BR-038,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-039-T01,BR-039,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-039-T02,BR-039,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-039-T03,BR-039,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-039-T04,BR-039,Branched,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-040-T01,BR-040,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-040-T02,BR-040,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-040-T03,BR-040,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-041-T01,BR-041,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-041-T02,BR-041,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-041-T03,BR-041,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-042-T01,BR-042,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-042-T02,BR-042,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-042-T03,BR-042,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-043-T01,BR-043,Branched,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-043-T02,BR-043,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-043-T03,BR-043,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-044-T01,BR-044,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-044-T02,BR-044,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-044-T03,BR-044,Branched,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-045-T01,BR-045,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-045-T02,BR-045,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-045-T03,BR-045,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-046-T01,BR-046,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-046-T02,BR-046,Branched,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-046-T03,BR-046,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-047-T01,BR-047,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-047-T02,BR-047,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-047-T03,BR-047,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-048-T01,BR-048,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-048-T02,BR-048,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-048-T03,BR-048,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-049-T01,BR-049,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-049-T02,BR-049,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-049-T03,BR-049,Branched,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-050-T01,BR-050,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-050-T02,BR-050,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-050-T03,BR-050,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-051-T01,BR-051,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-051-T02,BR-051,Branched,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-051-T03,BR-051,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-052-T01,BR-052,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-052-T02,BR-052,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-052-T03,BR-052,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-053-T01,BR-053,Branched,DEFINITE,DEFINITE,SOUND,SOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-053-T02,BR-053,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-053-T03,BR-053,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-054-T01,BR-054,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-054-T02,BR-054,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-054-T03,BR-054,Branched,DEFINITE,DEFINITE,UNSOUND,UNSOUND,INCOMPLETE,INCOMPLETE,TRUE,TRUE,
BR-055-T01,BR-055,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-055-T02,BR-055,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
BR-055-T03,BR-055,Branched,DEFINITE,DEFINITE,SOUND,SOUND,COMPLETE,COMPLETE,TRUE,TRUE,
