task_id,program_id,category,repetition,original_dynamic_ms,slice_dynamic_ms,dynamic_ratio,original_path_derivation_ms,slice_path_derivation_ms,path_derivation_ratio,original_smt_ms,slice_smt_ms,smt_ratio,original_other_ms,slice_slicing_ms,slice_other_ms,original_total_ms,slice_total_ms,total_ratio
BR-001-T03,BR-001,Branched,4,80,52.48,0.656,101,72.316894,0.716009,96,64.129699,0.668018,96.95,9.34875,56.74532,373.95,255.020663,0.681965
BR-001-T03,BR-001,Branched,5,83.2,54.5792,0.656,105.04,75.20957,0.716009,99.84,66.694887,0.668018,100.828,9.7227,59.015133,388.908,265.221489,0.681965
BR-001-T03,BR-001,Branched,6,79.2,51.9552,0.656,99.99,71.593725,0.716009,95.04,63.488402,0.668018,95.9805,9.255262,56.177867,370.2105,252.470456,0.681965
BR-001-T03,BR-001,Branched,7,82.4,54.0544,0.656,104.03,74.486401,0.716009,98.88,66.05359,0.668018,99.8585,9.629212,58.44768,385.1685,262.671283,0.681965
BR-001-T03,BR-001,Branched,8,78.4,51.4304,0.656,98.98,70.870556,0.716009,94.08,62.847105,0.668018,95.011,9.161775,55.610414,366.471,249.92025,0.681965
BR-001-T03,BR-001,Branched,9,81.6,53.5296,0.656,103.02,73.763232,0.716009,97.92,65.412293,0.668018,98.889,9.535725,57.880226,381.429,260.121076,0.681965
BR-001-T03,BR-001,Branched,10,77.6,50.9056,0.656,97.97,70.147387,0.716009,93.12,62.205808,0.668018,94.0415,9.068288,55.04296,362.7315,247.370043,0.681965
BR-001-T04,BR-001,Branched,1,99,64.548,0.652,124,88.289097,0.712009,125,83.002212,0.664018,121.8,11.745,70.92346,469.8,318.50777,0.677965
BR-001-T04,BR-001,Branched,2,102.96,67.12992,0.652,128.96,91.820661,0.712009,130,86.322301,0.664018,126.672,12.2148,73.760399,488.592,331.248081,0.677965
BR-001-T04,BR-001,Branched,3,98.01,63.90252,0.652,122.76,87.406206,0.712009,123.75,82.17219,0.664018,120.582,11.62755,70.214226,465.102,315.322692,0.677965
BR-001-T04,BR-001,Branched,4,101.97,66.48444,0.652,127.72,90.93777,0.712009,128.75,85.492279,0.664018,125.454,12.09735,73.051164,483.894,328.063003,0.677965
BR-001-T04,BR-001,Branched,5,97.02,63.25704,0.652,121.52,86.523315,0.712009,122.5,81.342168,0.664018,119.364,11.5101,69.504991,460.404,312.137615,0.677965
BR-001-T04,BR-001,Branched,6,100.98,65.83896,0.652,126.48,90.054879,0.712009,127.5,84.662257,0.664018,124.236,11.9799,72.341929,479.196,324.877925,0.677965
BR-001-T04,BR-001,Branched,7,96.03,62.61156,0.652,120.28,85.640424,0.712009,121.25,80.512146,0.664018,118.146,11.39265,68.795756,455.706,308.952537,0.677965
BR-001-T04,BR-001,Branched,8,99.99,65.19348,0.652,125.24,89.171988,0.712009,126.25,83.832235,0.664018,123.018,11.86245,71.632695,474.498,321.692848,0.677965
BR-001-T04,BR-001,Branched,9,95.04,61.96608,0.652,119.04,84.757533,0.712009,120,79.682124,0.664018,116.928,11.2752,68.086522,451.008,305.767459,0.677965
BR-001-T04,BR-001,Branched,10,99,64.548,0.652,124,88.289097,0.712009,125,83.002212,0.664018,121.8,11.745,70.92346,469.8,318.50777,0.677965
BR-002-T01,BR-002,Branched,1,121.54,78.75792,0.648,151.41,110.37923,0.729009,45.32,29.912002,0.660018,111.3945,10.741612,59.787899,429.6645,289.578664,0.673965
BR-002-T01,BR-002,Branched,2,115.64,74.93472,0.648,144.06,105.021015,0.729009,43.12,28.459963,0.660018,105.987,10.220175,56.885574,408.807,275.521447,0.673965
BR-002-T01,BR-002,Branched,3,120.36,77.99328,0.648,149.94,109.307587,0.729009,44.88,29.621594,0.660018,110.313,10.637325,59.207434,425.493,286.76722,0.673965
BR-002-T01,BR-002,Branched,4,114.46,74.17008,0.648,142.59,103.949372,0.729009,42.68,28.169555,0.660018,104.9055,10.115888,56.305109,404.6355,272.710004,0.673965
BR-002-T01,BR-002,Branched,5,119.18,77.22864,0.648,148.47,108.235944,0.729009,44.44,29.331187,0.660018,109.2315,10.533038,58.626969,421.3215,283.955777,0.673965
BR-002-T01,BR-002,Branched,6,113.28,73.40544,0.648,141.12,102.877729,0.729009,42.24,27.879148,0.660018,103.824,10.0116,55.724644,400.464,269.89856,0.673965
BR-002-T01,BR-002,Branched,7,118,76.464,0.648,147,107.164301,0.729009,44,29.040779,0.660018,108.15,10.42875,58.046504,417.15,281.144334,0.673965
BR-002-T01,BR-002,Branched,8,122.72,79.52256,0.648,152.88,111.450873,0.729009,45.76,30.20241,0.660018,112.476,10.8459,60.368364,433.836,292.390107,0.673965
BR-002-T01,BR-002,Branched,9,116.82,75.69936,0.648,145.53,106.092658,0.729009,43.56,28.750371,0.660018,107.0685,10.324462,57.466039,412.9785,278.33289,0.673965
BR-002-T01,BR-002,Branched,10,121.54,78.75792,0.648,151.41,110.37923,0.729009,45.32,29.912002,0.660018,111.3945,10.741612,59.787899,429.6645,289.578664,0.673965
BR-002-T02,BR-002,Branched,1,40.74,26.23656,0.644,164.9,119.553959,0.725009,70.81,46.452613,0.656018,96.7575,9.330188,56.299852,373.2075,257.873172,0.690965
BR-002-T02,BR-002,Branched,2,42.42,27.31848,0.644,171.7,124.484019,0.725009,73.73,48.368185,0.656018,100.7475,9.714938,58.621495,388.5975,268.507117,0.690965
BR-002-T02,BR-002,Branched,3,40.32,25.96608,0.644,163.2,118.321444,0.725009,70.08,45.97372,0.656018,95.76,9.234,55.719441,369.36,255.214685,0.690965
BR-002-T02,BR-002,Branched,4,42,27.048,0.644,170,123.251504,0.725009,73,47.889292,0.656018,99.75,9.61875,58.041084,384.75,265.848631,0.690965
BR-002-T02,BR-002,Branched,5,43.68,28.12992,0.644,176.8,128.181565,0.725009,75.92,49.804864,0.656018,103.74,10.0035,60.362727,400.14,276.482576,0.690965
BR-002-T02,BR-002,Branched,6,41.58,26.77752,0.644,168.3,122.018989,0.725009,72.27,47.410399,0.656018,98.7525,9.522562,57.460673,380.9025,263.190144,0.690965
BR-002-T02,BR-002,Branched,7,43.26,27.85944,0.644,175.1,126.94905,0.725009,75.19,49.325971,0.656018,102.7425,9.907312,59.782317,396.2925,273.824089,0.690965
BR-002-T02,BR-002,Branched,8,41.16,26.50704,0.644,166.6,120.786474,0.725009,71.54,46.931506,0.656018,97.755,9.426375,56.880262,377.055,260.531658,0.690965
BR-002-T02,BR-002,Branched,9,42.84,27.58896,0.644,173.4,125.716535,0.725009,74.46,48.847078,0.656018,101.745,9.811125,59.201906,392.445,271.165603,0.690965
BR-002-T02,BR-002,Branched,10,40.74,26.23656,0.644,164.9,119.553959,0.725009,70.81,46.452613,0.656018,96.7575,9.330188,56.299852,373.2075,257.873172,0.690965
BR-002-T03,BR-002,Branched,1,61,40.321,0.661,68,49.028602,0.721009,102,66.505805,0.652018,80.85,7.79625,50.578254,311.85,214.229911,0.686965
BR-002-T03,BR-002,Branched,2,63.44,41.93384,0.661,70.72,50.989746,0.721009,106.08,69.166038,0.652018,84.084,8.1081,52.601384,324.324,222.799108,0.686965
BR-002-T03,BR-002,Branched,3,60.39,39.91779,0.661,67.32,48.538316,0.721009,100.98,65.840747,0.652018,80.0415,7.718288,50.072471,308.7315,212.087612,0.686965
BR-002-T03,BR-002,Branched,4,62.83,41.53063,0.661,70.04,50.49946,0.721009,105.06,68.500979,0.652018,83.2755,8.030138,52.095602,321.2055,220.656808,0.686965
BR-002-T03,BR-002,Branched,5,59.78,39.51458,0.661,66.64,48.04803,0.721009,99.96,65.175689,0.652018,79.233,7.640325,49.566689,305.613,209.945313,0.686965
BR-002-T03,BR-002,Branched,6,62.22,41.12742,0.661,69.36,50.009174,0.721009,104.04,67.835921,0.652018,82.467,7.952175,51.589819,318.087,218.514509,0.686965
BR-002-T03,BR-002,Branched,7,59.17,39.11137,0.661,65.96,47.557744,0.721009,98.94,64.510631,0.652018,78.4245,7.562362,49.060906,302.4945,207.803014,0.686965
BR-002-T03,BR-002,Branched,8,61.61,40.72421,0.661,68.68,49.518888,0.721009,103.02,67.170863,0.652018,81.6585,7.874212,51.084037,314.9685,216.37221,0.686965
BR-002-T03,BR-002,Branched,9,58.56,38.70816,0.661,65.28,47.067458,0.721009,97.92,63.845573,0.652018,77.616,7.4844,48.555124,299.376,205.660715,0.686965
BR-002-T03,BR-002,Branched,10,61,40.321,0.661,68,49.028602,0.721009,102,66.505805,0.652018,80.85,7.79625,50.578254,311.85,214.229911,0.686965
BR-002-T04,BR-002,Branched,1,82.4,54.1368,0.657,93.73,67.205239,0.717009,134.93,90.270558,0.669018,108.871,10.498275,64.687136,419.931,286.798008,0.682965
BR-002-T04,BR-002,Branched,2,78.4,51.5088,0.657,89.18,63.942849,0.717009,128.38,85.888492,0.669018,103.586,9.98865,61.546983,399.546,272.875775,0.682965
BR-002-T04,BR-002,Branched,3,81.6,53.6112,0.657,92.82,66.552761,0.717009,133.62,89.394145,0.669018,107.814,10.39635,64.059105,415.854,284.013562,0.682965
BR-002-T04,BR-002,Branched,4,77.6,50.9832,0.657,88.27,63.290371,0.717009,127.07,85.012079,0.669018,102.529,9.886725,60.918953,395.469,270.091328,0.682965
BR-002-T04,BR-002,Branched,5,80.8,53.0856,0.657,91.91,65.900283,0.717009,132.31,88.517732,0.669018,106.757,10.294425,63.431075,411.777,281.229115,0.682965
BR-002-T04,BR-002,Branched,6,76.8,50.4576,0.657,87.36,62.637893,0.717009,125.76,84.135666,0.669018,101.472,9.7848,60.290922,391.392,267.306881,0.682965
BR-002-T04,BR-002,Branched,7,80,52.56,0.657,91,65.247805,0.717009,131,87.641319,0.669018,105.7,10.1925,62.803044,407.7,278.444668,0.682965
BR-002-T04,BR-002,Branched,8,83.2,54.6624,0.657,94.64,67.857718,0.717009,136.24,91.146971,0.669018,109.928,10.6002,65.315166,424.008,289.582455,0.682965
BR-002-T04,BR-002,Branched,9,79.2,52.0344,0.657,90.09,64.595327,0.717009,129.69,86.764905,0.669018,104.643,10.090575,62.175014,403.623,275.660221,0.682965
BR-002-T04,BR-002,Branched,10,82.4,54.1368,0.657,93.73,67.205239,0.717009,134.93,90.270558,0.669018,108.871,10.498275,64.687136,419.931,286.798008,0.682965
BR-003-T01,BR-003,Branched,1,96.03,62.70759,0.653,110.58,78.844519,0.713009,48.5,32.253358,0.665018,89.2885,8.609962,51.418961,344.3985,233.83439,0.678965
BR-003-T01,BR-003,Branched,2,99.99,65.29347,0.653,115.14,82.095839,0.713009,50.5,33.583394,0.665018,92.9705,8.965012,53.53933,358.6005,243.477046,0.678965
BR-003-T01,BR-003,Branched,3,95.04,62.06112,0.653,109.44,78.031688,0.713009,48,31.92085,0.665018,88.368,8.5212,50.888869,340.848,231.423727,0.678965
BR-003-T01,BR-003,Branched,4,99,64.647,0.653,114,81.283009,0.713009,50,33.250885,0.665018,92.05,8.87625,53.009238,355.05,241.066382,0.678965
BR-003-T01,BR-003,Branched,5,102.96,67.23288,0.653,118.56,84.534329,0.713009,52,34.58092,0.665018,95.732,9.2313,55.129608,369.252,250.709037,0.678965
BR-003-T01,BR-003,Branched,6,98.01,64.00053,0.653,112.86,80.470179,0.713009,49.5,32.918376,0.665018,91.1295,8.787488,52.479146,351.4995,238.655718,0.678965
BR-003-T01,BR-003,Branched,7,101.97,66.58641,0.653,117.42,83.721499,0.713009,51.5,34.248412,0.665018,94.8115,9.142538,54.599515,365.7015,248.298373,0.678965
BR-003-T01,BR-003,Branched,8,97.02,63.35406,0.653,111.72,79.657349,0.713009,49,32.585867,0.665018,90.209,8.698725,51.949053,347.949,236.245054,0.678965
BR-003-T01,BR-003,Branched,9,100.98,65.93994,0.653,116.28,82.908669,0.713009,51,33.915903,0.665018,93.891,9.053775,54.069423,362.151,245.887709,0.678965
BR-003-T01,BR-003,Branched,10,96.03,62.70759,0.653,110.58,78.844519,0.713009,48.5,32.253358,0.665018,89.2885,8.609962,51.418961,344.3985,233.83439,0.678965
BR-003-T02,BR-003,Branched,1,118,76.582,0.649,137,100.011212,0.730009,79,52.220398,0.661018,116.9,11.2725,64.255428,450.9,304.341539,0.674965
BR-003-T02,BR-003,Branched,2,122.72,79.64528,0.649,142.48,104.011661,0.730009,82.16,54.309214,0.661018,121.576,11.7234,66.825645,468.936,316.5152,0.674965
BR-003-T02,BR-003,Branched,3,116.82,75.81618,0.649,135.63,99.0111,0.730009,78.21,51.698194,0.661018,115.731,11.159775,63.612874,446.391,301.298124,0.674965
BR-003-T02,BR-003,Branched,4,121.54,78.87946,0.649,141.11,103.011549,0.730009,81.37,53.78701,0.661018,120.407,11.610675,66.183091,464.427,313.471785,0.674965
BR-003-T02,BR-003,Branched,5,115.64,75.05036,0.649,134.26,98.010988,0.730009,77.42,51.17599,0.661018,114.562,11.04705,62.97032,441.882,298.254708,0.674965
BR-003-T02,BR-003,Branched,6,120.36,78.11364,0.649,139.74,102.011437,0.730009,80.58,53.264806,0.661018,119.238,11.49795,65.540537,459.918,310.42837,0.674965
BR-003-T02,BR-003,Branched,7,114.46,74.28454,0.649,132.89,97.010876,0.730009,76.63,50.653786,0.661018,113.393,10.934325,62.327765,437.373,295.211293,0.674965
BR-003-T02,BR-003,Branched,8,119.18,77.34782,0.649,138.37,101.011325,0.730009,79.79,52.742602,0.661018,118.069,11.385225,64.897983,455.409,307.384954,0.674965
BR-003-T02,BR-003,Branched,9,113.28,73.51872,0.649,131.52,96.010764,0.730009,75.84,50.131582,0.661018,112.224,10.8216,61.685211,432.864,292.167877,0.674965
BR-003-T02,BR-003,Branched,10,118,76.582,0.649,137,100.011212,0.730009,79,52.220398,0.661018,116.9,11.2725,64.255428,450.9,304.341539,0.674965
BR-003-T03,BR-003,Branched,1,43.26,27.9027,0.645,164.8,119.646258,0.726009,111.24,73.086649,0.657018,111.755,10.776375,66.862819,431.055,298.274801,0.691965
BR-003-T03,BR-003,Branched,2,41.16,26.5482,0.645,156.8,113.838188,0.726009,105.84,69.538753,0.657018,106.33,10.25325,63.617051,410.13,283.795442,0.691965
BR-003-T03,BR-003,Branched,3,42.84,27.6318,0.645,163.2,118.484644,0.726009,110.16,72.37707,0.657018,110.67,10.67175,66.213666,426.87,295.37893,0.691965
BR-003-T03,BR-003,Branched,4,40.74,26.2773,0.645,155.2,112.676573,0.726009,104.76,68.829174,0.657018,105.245,10.148625,62.967898,405.945,280.89957,0.691965
BR-003-T03,BR-003,Branched,5,42.42,27.3609,0.645,161.6,117.32303,0.726009,109.08,71.667491,0.657018,109.585,10.567125,65.564512,422.685,292.483058,0.691965
BR-003-T03,BR-003,Branched,6,40.32,26.0064,0.645,153.6,111.514959,0.726009,103.68,68.119595,0.657018,104.16,10.044,62.318744,401.76,278.003698,0.691965
BR-003-T03,BR-003,Branched,7,42,27.09,0.645,160,116.161416,0.726009,108,70.957912,0.657018,108.5,10.4625,64.915358,418.5,289.587186,0.691965
BR-003-T03,BR-003,Branched,8,43.68,28.1736,0.645,166.4,120.807873,0.726009,112.32,73.796228,0.657018,112.84,10.881,67.511973,435.24,301.170673,0.691965
BR-003-T03,BR-003,Branched,9,41.58,26.8191,0.645,158.4,114.999802,0.726009,106.92,70.248332,0.657018,107.415,10.357875,64.266205,414.315,286.691314,0.691965
BR-003-T03,BR-003,Branched,10,43.26,27.9027,0.645,164.8,119.646258,0.726009,111.24,73.086649,0.657018,111.755,10.776375,66.862819,431.055,298.274801,0.691965
BR-003-T04,BR-003,Branched,1,59.17,39.17054,0.662,56.26,40.620218,0.722009,132.89,86.779522,0.653018,86.912,8.3808,55.676669,335.232,230.627749,0.687965
BR-003-T04,BR-003,Branched,2,61.61,40.78582,0.662,58.58,42.295278,0.722009,138.37,90.358059,0.653018,90.496,8.7264,57.972615,349.056,240.138172,0.687965
BR-003-T04,BR-003,Branched,3,58.56,38.76672,0.662,55.68,40.201453,0.722009,131.52,85.884888,0.653018,86.016,8.2944,55.102683,331.776,228.250144,0.687965
BR-003-T04,BR-003,Branched,4,61,40.382,0.662,58,41.876513,0.722009,137,89.463425,0.653018,89.6,8.64,57.398628,345.6,237.760566,0.687965
BR-003-T04,BR-003,Branched,5,63.44,41.99728,0.662,60.32,43.551574,0.722009,142.48,93.041962,0.653018,93.184,8.9856,59.694573,359.424,247.270989,0.687965
BR-003-T04,BR-003,Branched,6,60.39,39.97818,0.662,57.42,41.457748,0.722009,135.63,88.568791,0.653018,88.704,8.5536,56.824642,342.144,235.382961,0.687965
BR-003-T04,BR-003,Branched,7,62.83,41.59346,0.662,59.74,43.132809,0.722009,141.11,92.147328,0.653018,92.288,8.8992,59.120587,355.968,244.893383,0.687965
BR-003-T04,BR-003,Branched,8,59.78,39.57436,0.662,56.84,41.038983,0.722009,134.26,87.674156,0.653018,87.808,8.4672,56.250656,338.688,233.005355,0.687965
BR-003-T04,BR-003,Branched,9,62.22,41.18964,0.662,59.16,42.714044,0.722009,139.74,91.252693,0.653018,91.392,8.8128,58.546601,352.512,242.515778,0.687965
BR-003-T04,BR-003,Branched,10,59.17,39.17054,0.662,56.26,40.620218,0.722009,132.89,86.779522,0.653018,86.912,8.3808,55.676669,335.232,230.627749,0.687965
BR-004-T01,BR-004,Branched,1,80,52.64,0.658,81,58.158717,0.718009,56,37.520991,0.670018,75.95,7.32375,44.723972,292.95,200.36743,0.683965
BR-004-T01,BR-004,Branched,2,83.2,54.7456,0.658,84.24,60.485065,0.718009,58.24,39.021831,0.670018,78.988,7.6167,46.512931,304.668,208.382127,0.683965
BR-004-T01,BR-004,Branched,3,79.2,52.1136,0.658,80.19,57.57713,0.718009,55.44,37.145781,0.670018,75.1905,7.250512,44.276732,290.0205,198.363756,0.683965
BR-004-T01,BR-004,Branched,4,82.4,54.2192,0.658,83.43,59.903478,0.718009,57.68,38.646621,0.670018,78.2285,7.543462,46.065691,301.7385,206.378453,0.683965
BR-004-T01,BR-004,Branched,5,78.4,51.5872,0.658,79.38,56.995542,0.718009,54.88,36.770571,0.670018,74.431,7.177275,43.829493,287.091,196.360081,0.683965
BR-004-T01,BR-004,Branched,6,81.6,53.6928,0.658,82.62,59.321891,0.718009,57.12,38.271411,0.670018,77.469,7.470225,45.618452,298.809,204.374779,0.683965
BR-004-T01,BR-004,Branched,7,77.6,51.0608,0.658,78.57,56.413955,0.718009,54.32,36.395361,0.670018,73.6715,7.104038,43.382253,284.1615,194.356407,0.683965
BR-004-T01,BR-004,Branched,8,80.8,53.1664,0.658,81.81,58.740304,0.718009,56.56,37.896201,0.670018,76.7095,7.396988,45.171212,295.8795,202.371104,0.683965
BR-004-T01,BR-004,Branched,9,76.8,50.5344,0.658,77.76,55.832368,0.718009,53.76,36.020152,0.670018,72.912,7.0308,42.935013,281.232,192.352733,0.683965
BR-004-T01,BR-004,Branched,10,80,52.64,0.658,81,58.158717,0.718009,56,37.520991,0.670018,75.95,7.32375,44.723972,292.95,200.36743,0.683965
BR-004-T02,BR-004,Branched,1,101.97,66.68838,0.654,107.12,76.484628,0.714009,87.55,58.30985,0.666018,103.824,10.0116,60.806887,400.464,272.301344,0.679965
BR-004-T02,BR-004,Branched,2,97.02,63.45108,0.654,101.92,72.771782,0.714009,83.3,55.479274,0.666018,98.784,9.5256,57.855096,381.024,259.082832,0.679965
BR-004-T02,BR-004,Branched,3,100.98,66.04092,0.654,106.08,75.742059,0.714009,86.7,57.743735,0.666018,102.816,9.9144,60.216529,396.576,269.657642,0.679965
BR-004-T02,BR-004,Branched,4,96.03,62.80362,0.654,100.88,72.029213,0.714009,82.45,54.913159,0.666018,97.776,9.4284,57.264738,377.136,256.43913,0.679965
BR-004-T02,BR-004,Branched,5,99.99,65.39346,0.654,105.04,74.99949,0.714009,85.85,57.177619,0.666018,101.808,9.8172,59.626171,392.688,267.01394,0.679965
BR-004-T02,BR-004,Branched,6,95.04,62.15616,0.654,99.84,71.286644,0.714009,81.6,54.347044,0.666018,96.768,9.3312,56.67438,373.248,253.795428,0.679965
BR-004-T02,BR-004,Branched,7,99,64.746,0.654,104,74.25692,0.714009,85,56.611504,0.666018,100.8,9.72,59.035812,388.8,264.370237,0.679965
BR-004-T02,BR-004,Branched,8,102.96,67.33584,0.654,108.16,77.227197,0.714009,88.4,58.875965,0.666018,104.832,10.1088,61.397245,404.352,274.945047,0.679965
BR-004-T02,BR-004,Branched,9,98.01,64.09854,0.654,102.96,73.514351,0.714009,84.15,56.045389,0.666018,99.792,9.6228,58.445454,384.912,261.726535,0.679965
BR-004-T02,BR-004,Branched,10,101.97,66.68838,0.654,107.12,76.484628,0.714009,87.55,58.30985,0.666018,103.824,10.0116,60.806887,400.464,272.301344,0.679965
BR-004-T03,BR-004,Branched,1,114.46,74.399,0.65,123.19,90.05298,0.731009,110.58,73.205917,0.662018,121.8805,11.752762,68.367397,470.1105,317.778057,0.675965
BR-004-T03,BR-004,Branched,2,119.18,77.467,0.65,128.27,93.766505,0.731009,115.14,76.224718,0.662018,126.9065,12.237412,71.186671,489.4965,330.882307,0.675965
BR-004-T03,BR-004,Branched,3,113.28,73.632,0.65,121.92,89.124599,0.731009,109.44,72.451217,0.662018,120.624,11.6316,67.662579,465.264,314.501994,0.675965
BR-004-T03,BR-004,Branched,4,118,76.7,0.65,127,92.838124,0.731009,114,75.470018,0.662018,125.65,12.11625,70.481853,484.65,327.606244,0.675965
BR-004-T03,BR-004,Branched,5,122.72,79.768,0.65,132.08,96.551649,0.731009,118.56,78.488818,0.662018,130.676,12.6009,73.301127,504.036,340.710494,0.675965
BR-004-T03,BR-004,Branched,6,116.82,75.933,0.65,125.73,91.909743,0.731009,112.86,74.715318,0.662018,124.3935,11.995088,69.777034,479.8035,324.330182,0.675965
BR-004-T03,BR-004,Branched,7,121.54,79.001,0.65,130.81,95.623268,0.731009,117.42,77.734118,0.662018,129.4195,12.479738,72.596308,499.1895,337.434432,0.675965
BR-004-T03,BR-004,Branched,8,115.64,75.166,0.65,124.46,90.981361,0.731009,111.72,73.960617,0.662018,123.137,11.873925,69.072216,474.957,321.054119,0.675965
BR-004-T03,BR-004,Branched,9,120.36,78.234,0.65,129.54,94.694886,0.731009,116.28,76.979418,0.662018,128.163,12.358575,71.89149,494.343,334.158369,0.675965
BR-004-T03,BR-004,Branched,10,114.46,74.399,0.65,123.19,90.05298,0.731009,110.58,73.205917,0.662018,121.8805,11.752762,68.367397,470.1105,317.778057,0.675965
BR-004-T04,BR-004,Branched,1,42,27.132,0.646,150,109.051327,0.727009,143,94.096531,0.658018,117.25,11.30625,62.309883,452.25,303.895991,0.671965
BR-004-T04,BR-004,Branched,2,43.68,28.21728,0.646,156,113.413381,0.727009,148.72,97.860392,0.658018,121.94,11.7585,64.802278,470.34,316.051831,0.671965
BR-004-T04,BR-004,Branched,3,41.58,26.86068,0.646,148.5,107.960814,0.727009,141.57,93.155566,0.658018,116.0775,11.193188,61.686784,447.7275,300.857031,0.671965
BR-004-T04,BR-004,Branched,4,43.26,27.94596,0.646,154.5,112.322867,0.727009,147.29,96.919427,0.658018,120.7675,11.645438,64.179179,465.8175,313.012871,0.671965
BR-004-T04,BR-004,Branched,5,41.16,26.58936,0.646,147,106.870301,0.727009,140.14,92.2146,0.658018,114.905,11.080125,61.063685,443.205,297.818071,0.671965
BR-004-T04,BR-004,Branched,6,42.84,27.67464,0.646,153,111.232354,0.727009,145.86,95.978462,0.658018,119.595,11.532375,63.55608,461.295,309.973911,0.671965
