program_id,category,category_ordinal,scenario_count
SQ-016,Sequential,16,2
SQ-017,Sequential,17,2
SQ-018,Sequential,18,2
SQ-019,Sequential,19,2
SQ-020,Sequential,20,2
SQ-021,Sequential,21,2
SQ-022,Sequential,22,2
SQ-023,Sequential,23,2
SQ-024,Sequential,24,2
SQ-025,Sequential,25,2
SQ-026,Sequential,26,2
SQ-027,Sequential,27,2
SQ-028,Sequential,28,2
SQ-029,Sequential,29,2
SQ-030,Sequential,30,2
SQ-031,Sequential,31,2
SQ-032,Sequential,32,2
SQ-033,Sequential,33,2
SQ-034,Sequential,34,2
SQ-035,Sequential,35,2
SQ-036,Sequential,36,2
SQ-037,Sequential,37,2
SQ-038,Sequential,38,2
SQ-039,Sequential,39,2
SQ-040,Sequential,40,2
SQ-041,Sequential,41,2
SQ-042,Sequential,42,2
SQ-043,Sequential,43,2
SQ-044,Sequential,44,2
SQ-045,Sequential,45,2
SQ-046,Sequential,46,2
SQ-047,Sequential,47,2
SQ-048,Sequential,48,2
SQ-049,Sequential,49,2
SQ-050,Sequential,50,2
SQ-051,Sequential,51,2
SQ-052,Sequential,52,2
SQ-053,Sequential,53,2
SQ-054,Sequential,54,2
SQ-055,Sequential,55,2
SQ-056,Sequential,56,2
SQ-057,Sequential,57,2
SQ-058,Sequential,58,2
SQ-059,Sequential,59,2
SQ-060,Sequential,60,2
SQ-061,Sequential,61,2
SQ-062,Sequential,62,2
SQ-063,Sequential,63,2
SL-001,Single-path-Loop,1,3
SL-002,Single-path-Loop,2,3
SL-003,Single-path-Loop,3,3
SL-004,Single-path-Loop,4,3
SL-005,Single-path-Loop,5,3
SL-006,Single-path-Loop,6,3
SL-007,Single-path-Loop,7,3
SL-008,Single-path-Loop,8,3
SL-009,Single-path-Loop,9,3
SL-010,Single-path-Loop,10,3
SL-011,Single-path-Loop,11,3
SL-012,Single-path-Loop,12,3
SL-013,Single-path-Loop,13,3
SL-014,Single-path-Loop,14,3
SL-015,Single-path-Loop,15,3
SL-016,Single-path-Loop,16,2
SL-017,Single-path-Loop,17,2
SL-018,Single-path-Loop,18,2
SL-019,Single-path-Loop,19,2
SL-020,Single-path-Loop,20,2
SL-021,Single-path-Loop,21,2
ML-001,Multi-path-Loop,1,4
ML-002,Multi-path-Loop,2,4
ML-003,Multi-path-Loop,3,4
ML-004,Multi-path-Loop,4,4
ML-005,Multi-path-Loop,5,4
ML-006,Multi-path-Loop,6,4
ML-007,Multi-path-Loop,7,4
ML-008,Multi-path-Loop,8,4
ML-009,Multi-path-Loop,9,4
ML-010,Multi-path-Loop,10,4
ML-011,Multi-path-Loop,11,4
ML-012,Multi-path-Loop,12,3
ML-013,Multi-path-Loop,13,3
ML-014,Multi-path-Loop,14,3
ML-015,Multi-path-Loop,15,3
ML-016,Multi-path-Loop,16,3
ML-017,Multi-path-Loop,17,3
ML-018,Multi-path-Loop,18,3
ML-019,Multi-path-Loop,19,3
ML-020,Multi-path-Loop,20,3
ML-021,Multi-path-Loop,21,3
ML-022,Multi-path-Loop,22,3
ML-023,Multi-path-Loop,23,3
ML-024,Multi-path-Loop,24,3
ML-025,Multi-path-Loop,25,3
ML-026,Multi-path-Loop,26,3
ML-027,Multi-path-Loop,27,3
ML-028,Multi-path-Loop,28,3
ML-029,Multi-path-Loop,29,3
ML-030,Multi-path-Loop,30,3
ML-031,Multi-path-Loop,31,3
NL-001,Nested-Loop,1,3
NL-002,Nested-Loop,2,3
NL-003,Nested-Loop,3,3
NL-004,Nested-Loop,4,3
NL-005,Nested-Loop,5,3
NL-006,Nested-Loop,6,3
NL-007,Nested-Loop,7,3
NL-008,Nested-Loop,8,3
NL-009,Nested-Loop,9,3
NL-010,Nested-Loop,10,3
NL-011,Nested-Loop,11,3
NL-012,Nested-Loop,12,3
NL-013,Nested-Loop,13,3
NL-014,Nested-Loop,14,3
NL-015,Nested-Loop,15,3
NL-016,Nested-Loop,16,3
NL-017,Nested-Loop,17,3
NL-018,Nested-Loop,18,3
NL-019,Nested-Loop,19,3
NL-020,Nested-Loop,20,3
NL-021,Nested-Loop,21,3
NL-022,Nested-Loop,22,3
NL-023,Nested-Loop,23,3
NL-024,Nested-Loop,24,3
NL-025,Nested-Loop,25,3
NL-026,Nested-Loop,26,3
NL-027,Nested-Loop,27,3
NL-028,Nested-Loop,28,3
NL-029,Nested-Loop,29,3
NL-030,Nested-Loop,30,3
NL-031,Nested-Loop,31,3
NL-032,Nested-Loop,32,3
NL-033,Nested-Loop,33,3
NL-034,Nested-Loop,34,2
NL-035,Nested-Loop,35,2
